Date,RY.TO,BNS.TO,BMO.TO,POW.TO,TD.TO,CM.TO,FFH.TO,BN.TO,NA.TO,LB.TO,CWB.TO,GWO.TO,IGM.TO,ONEX.TO,CIX.TO,GSY.TO,MFC.TO,IAG.TO,SLF.TO,X.TO,EQB.TO,IFC.TO,EIF.TO,SII.TO,TCN.TO
2013-01-29,-0.001438639,0,-0.00124057,-0.004460786,-0.00238983,-0.001190155,0.003740033,-0.016195832,0,-0.005389647,0.01535221,-0.001904968,0.011044523,0.000227209,0.012672773,0.019231585,-0.003403089,-0.002571686,0.004763762,0.02888289,-0.001371172,-0.01209191,-0.005782401,0.014320528,0.008608199
2013-01-30,0.001279265,-0.001358261,-0.00519153,0,-0.002515989,-0.004414127,0.001022552,-0.00026855,0.001124839,-0.001352199,0.003882207,0.001904968,-0.007810482,0.005212536,0.004434796,0,-0.00273012,0.002857004,0.001356962,-0.009834911,0.001645715,0.003642817,-0.005087379,-0.004750674,-0.002860853
2013-01-31,-0.007697496,-0.003743928,-0.00648805,-0.022989564,-0.000959925,-0.005154934,-0.011111049,-0.010808123,-0.009036073,-0.005653036,-0.004206594,-0.014184771,0.003223268,-0.017788147,-0.014859464,-0.009569498,-0.015846343,-0.005722354,-0.013651929,-0.034924697,-0.014349713,-0.005164596,0.006898057,0,0.002860853
2013-02-01,0.006738299,0.004253415,-0.000793859,0.003045552,0.003475914,0.004676515,-0.00974022,-0.001630969,0.001889359,0.00113293,-0.00292254,-0.005032142,0.020478669,0.008933792,0.015964875,-0.007722468,0.002773886,0.007717579,0.001373262,0.009814384,-0.002504433,0.005164596,-0.001086398,-0.024097544,0.035091486
2013-02-04,-0.005290304,-0.004935423,-0.006535522,-0.00152165,-0.007445883,-0.009133469,0.00290119,0.009478365,-0.008085968,-0.007730366,-0.000976065,-0.003887911,-0.025087066,-0.003655657,-0.010738569,0.000969103,-0.004163664,-0.003422907,-0.001029492,-0.008698218,0.003060365,-0.006383985,0.003615026,0.0048663,0
2013-02-05,-0.002736703,0.000170179,-0.000959409,0.004936554,-0.000602824,-0.001087566,0.002247366,0.000808427,-0.000634514,0.004327006,0.013578919,0.005051163,-0.016063249,-0.001603623,-0.003355749,-0.002908722,0.008999772,0.001427682,-0.00034377,0.030749036,0.003327406,0.001523794,-0.001082694,-0.0048663,-0.01528844
2013-02-06,0.010103359,0.003745954,0.007812616,0.014291231,0.000482222,-0.001572342,0.029420588,0.016560209,-0.002541853,0.006343843,0.006721337,0.006567514,0.009576017,0.007991929,0.017771085,0.019231585,-0.006915608,0.025631697,-0.003097879,0.02228083,0.006347554,-0.033124829,0.006482092,0.002435886,-0.002805434
2013-02-07,-0.00015932,-0.001870885,-0.004297775,-0.009379193,-0.001085337,-0.002302543,-0.008290455,0.003173676,-0.002420883,0.001805137,-0.00127661,-0.003857846,-0.002093935,0.005217265,-0.011812866,0.009478541,0.009668602,0.017094332,0,-0.016888211,0.001374826,0.009554399,-0.004317434,0,-0.009880034
2013-02-08,0.003663966,0.003908371,0.004615258,0.007136033,0.006855438,0.004841526,-0.004874901,0.024776533,0.003692458,0.008976505,0.003825469,0.015343993,0.003951784,0.004514828,0.002595892,-0.007575707,0.019735457,-0.006857727,0.012333456,0.002149081,0,-0.008296277,0.012894021,0.007273036,-0.002840917
2013-02-11,0.002541063,-0.003227813,-0.002702897,-0.000374196,-0.003361848,-0.000845098,0.002096037,-0.002063027,-0.000889937,0.00245495,0.000953602,0.000760764,0.013367305,-0.003836438,-0.010049964,0.007575707,0.029218418,0.006037319,0.005094038,-0.011695759,-0.008276069,-0.024503624,-0.007142135,-0.009708922,-0.011445069
